episode,steps,return,success,target,start_bin,delivered_bin,designer_bonus,intervention_kind,interventions_total,wallclock_s,global_step
325,1,-0.176,0,A,22,14,0.0,stuck,163,2265.6,52839
326,300,-54.632,0,A,14,14,0.0,,163,2278.8,53139
327,1,-0.182,0,A,14,22,0.0,stuck,164,2278.9,53140
328,300,-53.037,0,A,22,22,0.0,,164,2291.8,53440
329,1,-0.185,0,A,22,30,0.0,stuck,165,2291.9,53441
330,300,-57.651,0,A,30,30,0.0,,165,2305.2,53741
331,1,-0.203,0,A,30,23,0.0,stuck,166,2305.2,53742
332,300,-59.867,0,A,23,23,0.0,,166,2318.4,54042
333,1,-0.213,0,A,23,14,0.0,stuck,167,2318.4,54043
334,300,-57.225,0,A,14,15,0.0,,167,2331.4,54343
335,271,-61.188,0,A,15,13,0.0,stuck,168,2343.3,54614
336,300,-51.696,0,A,13,13,0.0,,168,2356.3,54914
337,1,-0.158,0,A,13,14,0.0,stuck,169,2356.3,54915
338,300,-36.824,0,A,14,15,0.0,,169,2369.3,55215
339,300,-75.369,0,A,15,23,0.0,,169,2382.1,55515
340,3,-0.675,0,A,23,14,0.0,stuck,170,2382.2,55518
341,300,-68.495,0,A,14,14,0.0,,170,2395.1,55818
342,1,-0.187,0,A,14,14,0.0,stuck,171,2395.1,55819
343,300,-75.706,0,A,14,14,0.0,,171,2408.2,56119
344,1,-0.171,0,A,14,23,0.0,stuck,172,2408.3,56120
345,300,-70.439,0,A,23,23,0.0,,172,2421.3,56420
346,1,-0.213,0,A,23,14,0.0,stuck,173,2421.3,56421
347,300,-72.807,0,A,14,14,0.0,,173,2434.1,56721
348,1,-0.173,0,A,14,15,0.0,stuck,174,2434.1,56722
349,300,-83.151,0,A,15,15,0.0,,174,2447.3,57022
350,1,-0.21,0,A,15,31,0.0,stuck,175,2447.4,57023
351,300,-64.585,0,A,31,31,0.0,,175,2461.1,57323
352,1,-0.21,0,A,31,14,0.0,stuck,176,2461.1,57324
353,300,-62.227,0,A,14,14,0.0,,176,2474.1,57624
354,1,-0.19,0,A,14,22,0.0,stuck,177,2474.2,57625
355,300,-51.697,0,A,22,22,0.0,,177,2487.7,57925
356,1,-0.183,0,A,22,15,0.0,stuck,178,2487.8,57926
357,300,-59.951,0,A,15,15,0.0,,178,2501.0,58226
358,1,-0.213,0,A,15,22,0.0,stuck,179,2501.1,58227
359,300,-56.56,0,A,22,22,0.0,,179,2514.4,58527
360,1,-0.19,0,A,22,14,0.0,stuck,180,2514.5,58528
361,300,-49.377,0,A,14,14,0.0,,180,2527.6,58828
362,1,-0.161,0,A,14,22,0.0,stuck,181,2527.6,58829
363,300,-51.442,0,A,22,22,0.0,,181,2541.2,59129
364,1,-0.189,0,A,22,22,0.0,stuck,182,2541.2,59130
365,300,-53.959,0,A,22,22,0.0,,182,2554.8,59430
366,1,-0.197,0,A,22,22,0.0,stuck,183,2554.8,59431
367,300,-52.977,0,A,22,22,0.0,,183,2569.7,59731
368,1,-0.199,0,A,22,23,0.0,stuck,184,2569.7,59732
369,300,-60.395,0,A,23,23,0.0,,184,2582.8,60032
370,1,-0.216,0,A,23,22,0.0,stuck,185,2582.9,60033
371,300,-56.954,0,A,22,22,0.0,,185,2595.5,60333
372,1,-0.169,0,A,22,14,0.0,stuck,186,2595.5,60334
373,300,-59.041,0,A,14,14,0.0,,186,2608.1,60634
374,1,-0.188,0,A,14,6,0.0,stuck,187,2608.2,60635
375,300,-63.775,0,A,6,6,0.0,,187,2621.5,60935
376,1,-0.185,0,A,6,22,0.0,stuck,188,2621.5,60936
377,300,-56.218,0,A,22,22,0.0,,188,2634.6,61236
378,1,-0.181,0,A,22,22,0.0,stuck,189,2634.6,61237
379,300,-57.449,0,A,22,22,0.0,,189,2647.5,61537
380,1,-0.164,0,A,22,22,0.0,stuck,190,2647.6,61538
381,300,-54.736,0,A,22,22,0.0,,190,2660.0,61838
382,1,-0.19,0,A,22,31,0.0,stuck,191,2660.1,61839
383,300,-62.554,0,A,31,31,0.0,,191,2672.9,62139
384,1,-0.208,0,A,31,7,0.0,stuck,192,2673.0,62140
385,300,-59.197,0,A,7,7,0.0,,192,2686.1,62440
386,1,-0.204,0,A,7,22,0.0,stuck,193,2686.2,62441
387,300,-59.192,0,A,22,22,0.0,,193,2699.0,62741
388,32,-5.673,0,A,22,6,0.0,stuck,194,2700.4,62773
389,300,-58.465,0,A,6,6,0.0,,194,2713.3,63073
390,54,-9.012,0,A,6,6,0.0,stuck,195,2715.7,63127
391,300,-56.067,0,A,6,6,0.0,,195,2728.8,63427
392,1,-0.201,0,A,6,15,0.0,stuck,196,2728.8,63428
393,300,-54.183,0,A,15,15,0.0,,196,2741.7,63728
394,1,-0.213,0,A,15,31,0.0,stuck,197,2741.7,63729
395,132,-26.174,0,A,31,23,0.0,escape,198,2747.7,63861
396,300,-54.458,0,A,23,23,0.0,,198,2760.8,64161
397,1,-0.214,0,A,23,22,0.0,stuck,199,2760.8,64162
398,300,-46.866,0,A,22,22,0.0,,199,2773.7,64462
399,1,-0.169,0,A,22,15,0.0,stuck,200,2773.7,64463
400,300,-57.33,0,A,15,15,0.0,,200,2786.7,64763
401,1,-0.202,0,A,15,22,0.0,stuck,201,2786.7,64764
402,300,-55.705,0,A,22,22,0.0,,201,2799.6,65064
403,1,-0.198,0,A,22,15,0.0,stuck,202,2799.7,65065
404,300,-63.918,0,A,15,15,0.0,,202,2812.4,65365
405,1,-0.207,0,A,15,14,0.0,stuck,203,2812.4,65366
406,300,-65.861,0,A,14,14,0.0,,203,2825.6,65666
407,1,-0.197,0,A,14,14,0.0,stuck,204,2825.7,65667
408,300,-50.822,0,A,14,14,0.0,,204,2838.6,65967
409,1,-0.174,0,A,14,6,0.0,stuck,205,2838.7,65968
410,300,-57.493,0,A,6,6,0.0,,205,2851.5,66268
411,1,-0.183,0,A,6,13,0.0,stuck,206,2851.5,66269
412,300,-50.513,0,A,13,13,0.0,,206,2864.5,66569
413,1,-0.157,0,A,13,7,0.0,stuck,207,2864.5,66570
